id,question_bn,question_en,question_banglish,tier1_class,topic,strictness_label,short_explanation_bn,short_explanation_en,reference_text,reference_source,source_type,verification_status,search_keywords
1,"পাঁচ ওয়াক্ত নামাজ পড়া কি ফরজ?","Is the five daily prayers obligatory?","panch oakt namaj pora ki foroj",Obligatory,Worship,"Fard (definitive)","পাঁচ ওয়াক্ত নামাজ প্রত্যেক প্রাপ্তবয়স্ক মুসলিমের উপর ফরজ।","The five daily prayers are obligatory upon every adult Muslim.","Islam is based on five principles: ... establishing the Salah","Sahih al-Bukhari 8, narrated by Ibn Umar","Sahih_Bukhari",verified,"namaj,namaz,salat,salah,prayer,foroj,fard,panch oakt"
2,"রমজানের রোজা রাখা কি ফরজ?","Is fasting in Ramadan obligatory?","ramjaner roja rakha ki foroj",Obligatory,Worship,"Fard (definitive)","রমজান মাসের রোজা প্রত্যেক সক্ষম মুসলিমের উপর ফরজ।","Fasting in the month of Ramadan is obligatory upon every capable Muslim.","Islam is based on five principles: ... fasting during the month of Ramadan","Sahih al-Bukhari 8, narrated by Ibn Umar","Sahih_Bukhari",verified,"roja,roza,sawm,fasting,ramadan,ramjan,foroj"
3,"জাকাত দেওয়া কি ফরজ?","Is paying Zakat obligatory?","zakat dewa ki foroj",Obligatory,Worship,"Fard (definitive)","নিসাব পরিমাণ সম্পদের মালিকের উপর জাকাত ফরজ।","Zakat is obligatory upon the owner of wealth reaching the nisab threshold.","Islam is based on five principles: ... paying the Zakat","Sahih al-Bukhari 8, narrated by Ibn Umar","Sahih_Bukhari",verified,"zakat,zakah,jakat,charity,foroj"
4,"হাজ্জ করা কি ফরজ?","Is performing Hajj obligatory?","hajj kora ki foroj",Obligatory,Worship,"Fard (definitive)","সক্ষম ব্যক্তির উপর জীবনে একবার হাজ্জ ফরজ।","Hajj is obligatory once in a lifetime upon those who are able.","Islam is based on five principles: ... performing Hajj","Sahih al-Bukhari 8, narrated by Ibn Umar","Sahih_Bukhari",verified,"hajj,haj,pilgrimage,foroj"
5,"নামাজ ত্যাগ করা কি কুফর?","Is abandoning prayer disbelief?","namaj tyag kora ki kufr",Faith_Violation,Faith_and_Aqidah,"Kufr (major according to some)","নামাজ ত্যাগ করাকে কিছু উলামা কুফর বলেছেন, তবে মতভেদ আছে।","Abandoning prayer is considered major disbelief by some scholars; there is difference of opinion.","Between a man and polytheism and unbelief is the abandonment of salat","Sahih Muslim 82, narrated by Jabir","Sahih_Muslim",verified,"namaj chhara,salah abandon,kufr,shirk"
6,"শূকরের মাংস খাওয়া কি হারাম?","Is eating pork forbidden?","shukorer mangsho khawa ki haram",Forbidden,Food_and_Drink,"Haram (definitive)","শূকরের মাংস কোরআনে স্পষ্টভাবে হারাম করা হয়েছে।","The flesh of swine is explicitly prohibited in the Quran.","Prohibited to you are dead animals, blood, the flesh of swine...","Quran 5:3","Quran",verified,"pork,shukor,swine,haram,mangsho"
7,"মৃত জন্তুর মাংস খাওয়া কি হারাম?","Is eating meat of dead animals forbidden?","mrito jontur mangsho khawa ki haram",Forbidden,Food_and_Drink,"Haram (definitive)","মৃত জন্তুর মাংস হারাম, তবে জরুরি অবস্থায় অনুমোদিত।","Carrion is forbidden except in cases of extreme necessity.","Prohibited to you are dead animals, blood, the flesh of swine...","Quran 5:3","Quran",verified,"maytah,carrion,mrito,dead animal,haram"
8,"রক্ত খাওয়া কি হারাম?","Is consuming blood forbidden?","rokto khawa ki haram",Forbidden,Food_and_Drink,"Haram (definitive)","প্রবাহিত রক্ত খাওয়া হারাম।","Flowing blood is prohibited.","Prohibited to you are dead animals, blood, the flesh of swine...","Quran 5:3","Quran",verified,"blood,rokto,dam,haram"
9,"সুদ খাওয়া কি হারাম?","Is taking interest (riba) forbidden?","sud khawa ki haram",Forbidden,Business_and_Finance,"Haram (definitive)","সুদ খাওয়া ও দেওয়া উভয়ই হারাম।","Consuming and dealing in riba (interest/usury) is forbidden.","Those who consume interest cannot stand... Allah has permitted trade and forbidden interest","Quran 2:275","Quran",verified,"riba,sud,interest,usury,haram"
10,"সুদ দেওয়া কি হারাম?","Is paying interest forbidden?","sud dewa ki haram",Forbidden,Business_and_Finance,"Haram (definitive)","সুদ দেওয়াও হারাম, তবে জরুরি প্রয়োজনে কিছু ক্ষেত্রে আলোচনা আছে।","Paying interest is also forbidden in principle.","Allah has permitted trade and forbidden interest","Quran 2:275","Quran",verified,"riba,sud,interest,pay"
